id,anio,tipo_actor,inseguro,victima,vio_ffaa,vio_policia,vio_cacmq,cc_peleas,cc_situacion_calle,cc_alcohol,cc_drogas,cc_danio_propiedad,cc_fauna_urbana,cc_basura,cc_ruido,cc_aglomeracion,ferias,hombre
CHQ24_0001,2024,locales,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1
CHQ24_0002,2024,locales,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1
CHQ24_0003,2024,locales,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0
CHQ24_0004,2024,locales,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
CHQ24_0005,2024,locales,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
CHQ24_0006,2024,locales,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0
CHQ24_0007,2024,locales,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
CHQ24_0008,2024,locales,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHQ24_0009,2024,locales,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
CHQ24_0010,2024,locales,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
CHQ24_0011,2024,locales,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1
CHQ24_0012,2024,locales,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0
CHQ24_0013,2024,locales,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
CHQ24_0014,2024,locales,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
CHQ24_0015,2024,locales,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1
CHQ24_0016,2024,locales,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
CHQ24_0017,2024,locales,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1
CHQ24_0018,2024,locales,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1
CHQ24_0019,2024,locales,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1
CHQ24_0020,2024,locales,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0
CHQ24_0021,2024,locales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CHQ24_0022,2024,locales,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0
CHQ24_0023,2024,locales,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
